rank,symbol,timeframe,slice_combination,bin_mode,validation_n_folds,side,verdict,triage_bucket,train_n,train_pass,valid_n,valid_pass,valid_mean_ret_costadj,valid_excess_vs_baseline,valid_best_parent_filter,valid_excess_vs_best_parent,valid_p_value_nw,walk_forward_pass_count,walk_forward_pass_pattern,walk_forward_survival_rate,scenario_survived_count,scenario_positive_baseline_excess_count,scenario_positive_parent_excess_count,scenario_significant_count,robustness_score,default_verdict,cost2_verdict,cost5_verdict,split06_verdict,split08_verdict,short_borrow2_verdict,short_borrow5_verdict,short_borrow10_verdict,search_wide_family_size,search_wide_rank,search_wide_bh_pass,search_wide_bonferroni_pass
17,FUT/CL,1h,state_session=lunch + state_ext=stretched_down,rolling,4,long,rejected,rejected_unsupported,29,False,44,False,0.007267060876224696,0.007759962373342471,state_session=lunch,0.003928460505962936,0.056146114062527896,0,0000,0.0,0,8,8,0,5.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,131,21,False,False
18,FUT/CL,1h,state_ext=stretched_down + state_vol=mid_vol,rolling,4,long,rejected,rejected_unsupported,44,False,40,False,0.004062707526266511,0.004555609023384286,state_ext=stretched_down,0.0030233505581045324,0.16456021072741978,0,0000,0.0,0,8,8,0,5.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,131,47,False,False
19,FUT/CL,1h,state_ext=stretched_up + state_vol=mid_vol,rolling,4,long,rejected,rejected_unsupported,39,False,52,False,0.0037352585836444457,0.0042281600807622215,state_ext=stretched_up,0.0029875747213917525,0.17423803007066385,0,0000,0.0,0,8,8,0,5.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,131,49,False,False
20,FUT/CL,1h,state_session=morning + state_slope=flat,rolling,4,short,rejected,rejected_unsupported,753,False,174,False,0.001961988719335924,0.0018690872222181488,state_slope=flat,0.0012141661587014563,0.37003509952274616,0,0000,0.0,0,8,8,0,5.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,131,67,False,False
21,FUT/ES,1h,state_session=lunch + state_slope=downtrend,rolling,4,short,rejected,rejected_unsupported,135,False,40,False,0.00016112116311954892,0.0007910012329408233,state_slope=downtrend,0.0006596540311133369,0.9237983196525963,0,0000,0.0,0,8,8,0,5.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,131,125,False,False
22,FUT/CL,1h,state_session=morning + state_ext=neutral,rolling,4,short,rejected,rejected_unsupported,1785,False,534,False,0.0016274749952453157,0.0015345734981275403,state_ext=neutral,0.0006068885641793244,0.24614046881303975,0,0000,0.0,0,8,8,0,5.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,131,55,False,False
23,FUT/NQ,1h,state_session=afternoon + state_slope=downtrend,rolling,4,long,rejected,rejected_unsupported,614,False,240,False,0.0009486507006205592,0.0004884443878904794,state_session=afternoon,0.0005784963766098176,0.1359983122834616,0,0000,0.0,0,7,8,0,5.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,131,40,False,False
24,FUT/NQ,1h,state_session=lunch + state_slope=flat,rolling,4,long,rejected,rejected_unsupported,83,False,42,False,0.001397444339369829,0.0009372380266397492,state_session=lunch,0.0005476668864274198,0.17361346375704967,0,0000,0.0,0,8,8,0,5.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,131,48,False,False
25,FUT/NQ,1h,state_session=lunch + state_slope=uptrend,rolling,4,long,rejected,rejected_unsupported,113,False,58,False,0.0013639817996323352,0.0009037754869022554,state_session=lunch,0.000514204346689926,0.0574064660024427,0,0000,0.0,0,8,8,0,5.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,131,22,False,False
26,FUT/ES,1h,state_session=afternoon + state_slope=downtrend,rolling,4,long,rejected,rejected_unsupported,621,False,213,False,0.0005501692239886516,0.0003202891541673772,state_slope=downtrend,0.00045163635599486347,0.17819437027872453,0,0000,0.0,0,7,8,0,5.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,131,50,False,False
