bar_ts_utc,close_adj,fwd_ret_5,state_ext,state_slope,state_vol,state_session,candidate_name,candidate_side,dir_fwd_ret_5,slice_combination
2023-05-03 04:00:00+00:00,118.0,0.0115254237288136,stretched_down,downtrend,mid_vol,morning,XOP_1d_downtrend_rebound,long,0.0115254237288136,state_ext=stretched_down + state_slope=downtrend
2023-05-04 04:00:00+00:00,116.22,0.014627430734813318,stretched_down,downtrend,mid_vol,morning,XOP_1d_downtrend_rebound,long,0.014627430734813318,state_ext=stretched_down + state_slope=downtrend
2023-05-05 04:00:00+00:00,120.31,-0.010888537943645638,stretched_down,downtrend,mid_vol,morning,XOP_1d_downtrend_rebound,long,-0.010888537943645638,state_ext=stretched_down + state_slope=downtrend
2023-05-08 04:00:00+00:00,120.64,0.00547082228116702,stretched_down,downtrend,mid_vol,morning,XOP_1d_downtrend_rebound,long,0.00547082228116702,state_ext=stretched_down + state_slope=downtrend
2023-05-09 04:00:00+00:00,119.93,-0.017760360210122617,stretched_down,downtrend,mid_vol,morning,XOP_1d_downtrend_rebound,long,-0.017760360210122617,state_ext=stretched_down + state_slope=downtrend
2023-05-10 04:00:00+00:00,119.36,0.00862935656836461,stretched_down,downtrend,mid_vol,morning,XOP_1d_downtrend_rebound,long,0.00862935656836461,state_ext=stretched_down + state_slope=downtrend
2023-05-11 04:00:00+00:00,117.92,0.04155359565807326,stretched_down,downtrend,mid_vol,morning,XOP_1d_downtrend_rebound,long,0.04155359565807326,state_ext=stretched_down + state_slope=downtrend
2023-05-12 04:00:00+00:00,119.0,0.034117647058823586,stretched_down,downtrend,mid_vol,morning,XOP_1d_downtrend_rebound,long,0.034117647058823586,state_ext=stretched_down + state_slope=downtrend
2023-05-15 04:00:00+00:00,121.3,0.03239901071723006,stretched_down,downtrend,mid_vol,morning,XOP_1d_downtrend_rebound,long,0.03239901071723006,state_ext=stretched_down + state_slope=downtrend
2023-05-16 04:00:00+00:00,117.8,0.06561969439728355,stretched_down,downtrend,mid_vol,morning,XOP_1d_downtrend_rebound,long,0.06561969439728355,state_ext=stretched_down + state_slope=downtrend
2023-09-26 04:00:00+00:00,145.44,-0.020902090209020896,stretched_down,downtrend,low_vol,morning,XOP_1d_downtrend_rebound,long,-0.020902090209020896,state_ext=stretched_down + state_slope=downtrend
2023-10-02 04:00:00+00:00,142.925,0.01570753891901333,stretched_down,downtrend,mid_vol,morning,XOP_1d_downtrend_rebound,long,0.01570753891901333,state_ext=stretched_down + state_slope=downtrend
2023-10-03 04:00:00+00:00,142.4,0.02317415730337058,stretched_down,downtrend,mid_vol,morning,XOP_1d_downtrend_rebound,long,0.02317415730337058,state_ext=stretched_down + state_slope=downtrend
2023-10-04 04:00:00+00:00,136.63,0.06470028544243589,stretched_down,downtrend,mid_vol,morning,XOP_1d_downtrend_rebound,long,0.06470028544243589,state_ext=stretched_down + state_slope=downtrend
2023-10-05 04:00:00+00:00,136.91,0.06252282521364405,stretched_down,downtrend,mid_vol,morning,XOP_1d_downtrend_rebound,long,0.06252282521364405,state_ext=stretched_down + state_slope=downtrend
2023-10-06 04:00:00+00:00,139.44,0.06590648307515767,stretched_down,downtrend,mid_vol,morning,XOP_1d_downtrend_rebound,long,0.06590648307515767,state_ext=stretched_down + state_slope=downtrend
2023-11-07 05:00:00+00:00,139.63,0.006660459786578921,stretched_down,downtrend,low_vol,morning,XOP_1d_downtrend_rebound,long,0.006660459786578921,state_ext=stretched_down + state_slope=downtrend
2023-11-08 05:00:00+00:00,136.66,0.029635591980096576,stretched_down,downtrend,low_vol,morning,XOP_1d_downtrend_rebound,long,0.029635591980096576,state_ext=stretched_down + state_slope=downtrend
2023-11-09 05:00:00+00:00,135.66,0.007445083296476529,stretched_down,downtrend,low_vol,morning,XOP_1d_downtrend_rebound,long,0.007445083296476529,state_ext=stretched_down + state_slope=downtrend
2023-11-10 05:00:00+00:00,137.18,0.01822423093745451,stretched_down,downtrend,low_vol,morning,XOP_1d_downtrend_rebound,long,0.01822423093745451,state_ext=stretched_down + state_slope=downtrend
2023-11-13 05:00:00+00:00,138.24,0.011935763888888618,stretched_down,downtrend,low_vol,morning,XOP_1d_downtrend_rebound,long,0.011935763888888618,state_ext=stretched_down + state_slope=downtrend
2023-11-14 05:00:00+00:00,140.56,-0.013375071143995387,stretched_down,downtrend,low_vol,morning,XOP_1d_downtrend_rebound,long,-0.013375071143995387,state_ext=stretched_down + state_slope=downtrend
2023-11-15 05:00:00+00:00,140.71,-0.014213630872006222,stretched_down,downtrend,low_vol,morning,XOP_1d_downtrend_rebound,long,-0.014213630872006222,state_ext=stretched_down + state_slope=downtrend
2023-11-16 05:00:00+00:00,136.67,0.01982878466378879,stretched_down,downtrend,low_vol,morning,XOP_1d_downtrend_rebound,long,0.01982878466378879,state_ext=stretched_down + state_slope=downtrend
2023-11-17 05:00:00+00:00,139.68,-0.011096792668957689,stretched_down,downtrend,mid_vol,morning,XOP_1d_downtrend_rebound,long,-0.011096792668957689,state_ext=stretched_down + state_slope=downtrend
